company,company_href,declaration_date,operation,instrument,amount_from_main,author,operation_date,quantity,price_eur,total_value_eur,comments,scraped_page,scraped_at,operation_date_parsed,declaration_date_parsed
Covivio,/marches/transactions_dirigeants/FR0000064578p,25/07/2025,Acquisition,Action,2032.0,"Auteur:ROMOLO BARDIN, Membre du conseil d'administration",23/07/2025,37,54.93,2032.41,,1,2025-07-27 20:57:00,2025-07-23,2025-07-25
Thales,/marches/transactions_dirigeants/FR0000121329p,25/07/2025,Acquisition,Action,119550.0,"Auteur:Valerie GUILLEMET, Administrateur",25/07/2025,500,239.1,119550.0,,1,2025-07-27 20:57:00,2025-07-25,2025-07-25
Charwood Energy,/marches/transactions_dirigeants/FR001400AJ60p,25/07/2025,Cession,Action,1323.0,"Auteur:1M86 SAS personne morale liée à Luc MILBERGUE, Président",24/07/2025,450,2.94,1323.0,,1,2025-07-27 20:57:00,2025-07-24,2025-07-25
Charwood Energy,/marches/transactions_dirigeants/FR001400AJ60p,24/07/2025,Cession,Action,35.0,"Auteur:1M86 SAS personne morale liée à Luc MILBERGUE, Président",23/07/2025,12,2.94,35.28,,1,2025-07-27 20:57:00,2025-07-23,2025-07-24
CBI,/marches/transactions_dirigeants/FR0014007LW0p,24/07/2025,Cession,Action,288000.0,"Auteur:KER VENTURES EURL SARL personne morale liée à FREDERIC CHESNAIS, GENERAL MANAGER",24/07/2025,500000,0.58,290000.0,,1,2025-07-27 20:57:00,2025-07-24,2025-07-24
macompta.fr,/marches/transactions_dirigeants/FR001400NQB6p,24/07/2025,Cession,Action,4680.0,"Auteur:LIMULE CAPITAL SAS, PDG",23/07/2025,600,7.8,4680.0,,1,2025-07-27 20:57:00,2025-07-23,2025-07-24
Valerio Therapeutics,/marches/transactions_dirigeants/FR0010095596p,24/07/2025,Conversion,Action,1500000.0,"Auteur:Financière de la Montagne SARL SARL, ADMINISTRATEUR",21/07/2025,27777777,0.05,1388888.85,Conversion de 1.500.000 obligations convertibles en 27.777.777 actions,1,2025-07-27 20:57:00,2025-07-21,2025-07-24
Valerio Therapeutics,/marches/transactions_dirigeants/FR0010095596p,24/07/2025,Souscription,Action,1539621.0,"Auteur:Financière de la Montagne SARL SARL, ADMINISTRATEUR",22/07/2025,33470016,0.05,1673500.8,Souscription augmentation de capital,1,2025-07-27 20:57:00,2025-07-22,2025-07-24
Covivio,/marches/transactions_dirigeants/FR0000064578p,24/07/2025,Acquisition,Action,10986.0,"Auteur:ROMOLO BARDIN, Membre du conseil d'administration",23/07/2025,200,54.93,10986.0,,1,2025-07-27 20:57:00,2025-07-23,2025-07-24
Streamwide,/marches/transactions_dirigeants/FR0010528059p,24/07/2025,Cession,Action,6059.0,"Auteur:OKHEMA SAS personne morale liée à LILIAN GAICHIES, DIRECTEUR GENERAL DELEGUE",21/07/2025,99,61.2,6058.8,,1,2025-07-27 20:57:00,2025-07-21,2025-07-24
Streamwide,/marches/transactions_dirigeants/FR0010528059p,24/07/2025,Cession,Action,56500.0,"Auteur:OKHEMA SAS personne morale liée à LILIAN GAICHIES, DIRECTEUR GENERAL DELEGUE",23/07/2025,1000,56.5,56500.0,,1,2025-07-27 20:57:00,2025-07-23,2025-07-24
Tikehau Capital,/marches/transactions_dirigeants/FR0013230612p,24/07/2025,Acquisition,Action,10265.0,"Auteur:TIKEHAU CAPITAL ADVISORS Société par actions simplifiée personne morale liée à Antoine FLAMARION, Président de AF&CoManagement, elle-même Gérant de Tikehau Capital",23/07/2025,500,20.53,10265.0,"Tikehau Capital Advisors est une personne étroitement liée à deux personnes dirigeantes de Tikehau Capital, à savoir : - AF&Co Management, Gérant, dont Monsieur Antoine Flamarion est le Président; et - MCH Management, Gérant, dont Monsieur Mathieu Chabran est le Président. Monsieur Antoine Flamarion est également président de la société AF&Co, elle-même Président de Tikehau Capital Advisors, et Monsieur Mathieu Chabran est également président de la société MCH, elle-même Directeur Général statutaire de Tikehau Capital Advisors. Tikehau Capital Advisors est également l'actionnaire unique de Tikehau Capital Commandité, associé commandité de Tikehau Capital.",1,2025-07-27 20:57:00,2025-07-23,2025-07-24
Tikehau Capital,/marches/transactions_dirigeants/FR0013230612p,24/07/2025,Acquisition,Action,10285.0,"Auteur:TIKEHAU CAPITAL ADVISORS Société par actions simplifiée personne morale liée à Antoine FLAMARION, Président de AF&CoManagement, elle-même Gérant de Tikehau Capital",24/07/2025,500,20.57,10285.0,"Tikehau Capital Advisors est une personne étroitement liée à deux personnes dirigeantes de Tikehau Capital, à savoir : - AF&Co Management, Gérant, dont Monsieur Antoine Flamarion est le Président; et - MCH Management, Gérant, dont Monsieur Mathieu Chabran est le Président. Monsieur Antoine Flamarion est également président de la société AF&Co, elle-même Président de Tikehau Capital Advisors, et Monsieur Mathieu Chabran est également président de la société MCH, elle-même Directeur Général statutaire de Tikehau Capital Advisors. Tikehau Capital Advisors est également l'actionnaire unique de Tikehau Capital Commandité, associé commandité de Tikehau Capital.",1,2025-07-27 20:57:00,2025-07-24,2025-07-24
Biomerieux,/marches/transactions_dirigeants/FR0013280286p,24/07/2025,Acquisition,Action,15062.0,"Auteur:Yasha MITROTTI, Executive Vice President, Industrial Applications",27/06/2025,164,91.84,15061.76,,1,2025-07-27 20:57:00,2025-06-27,2025-07-24
